
running 1 test
test test_encode_decode_roundtrip ... FAILED

failures:

---- test_encode_decode_roundtrip stdout ----
Compressing Intra Cube at t=0, start_x=0, start_y=0
[ENCODE] [0][12][4] Writing EVENT d=10, t=2141, d_res=0, t_res=2141
[ENCODE] [0][12][5] Writing EVENT d=10, t=2152, d_res=0, t_res=2152
[ENCODE] [0][12][6] Writing EVENT d=10, t=2205, d_res=0, t_res=2205
[ENCODE] [0][12][7] Writing EVENT d=10, t=2357, d_res=0, t_res=2357
[ENCODE] [0][12][8] Writing EVENT d=9, t=1311, d_res=-1, t_res=1311
[ENCODE] [0][12][9] Writing EVENT d=9, t=1305, d_res=0, t_res=1305
[ENCODE] [0][12][10] Writing EVENT d=10, t=2415, d_res=1, t_res=2415
[ENCODE] [0][12][11] Writing EVENT d=10, t=2397, d_res=0, t_res=2397
[ENCODE] [0][12][12] Writing EVENT d=9, t=1403, d_res=-1, t_res=1403
[ENCODE] [0][12][13] Writing EVENT d=10, t=2518, d_res=1, t_res=2518
[ENCODE] [0][12][14] Writing EVENT d=10, t=2447, d_res=0, t_res=2447
[ENCODE] [0][12][15] Writing EVENT d=9, t=1397, d_res=-1, t_res=1397
[ENCODE] [0][13][0] Writing EVENT d=10, t=2135, d_res=1, t_res=2135
[ENCODE] [0][13][1] Writing EVENT d=10, t=2207, d_res=0, t_res=2207
[ENCODE] [0][13][2] Writing EVENT d=10, t=2513, d_res=0, t_res=2513
[ENCODE] [0][13][3] Writing EVENT d=10, t=2242, d_res=0, t_res=2242
[ENCODE] [0][13][4] Writing EVENT d=10, t=2177, d_res=0, t_res=2177
[ENCODE] [0][13][5] Writing EVENT d=10, t=2241, d_res=0, t_res=2241
[ENCODE] [0][13][6] Writing EVENT d=10, t=2270, d_res=0, t_res=2270
[ENCODE] [0][13][7] Writing EVENT d=10, t=2349, d_res=0, t_res=2349
[ENCODE] [0][13][8] Writing EVENT d=10, t=2530, d_res=0, t_res=2530
[ENCODE] [0][13][9] Writing EVENT d=9, t=1297, d_res=-1, t_res=1297
[ENCODE] [0][13][10] Writing EVENT d=10, t=2456, d_res=1, t_res=2456
[ENCODE] [0][13][11] Writing EVENT d=10, t=2452, d_res=0, t_res=2452
[ENCODE] [0][13][12] Writing EVENT d=9, t=1335, d_res=-1, t_res=1335
[ENCODE] [0][13][13] Writing EVENT d=10, t=2447, d_res=1, t_res=2447
[ENCODE] [0][13][14] Writing EVENT d=10, t=2460, d_res=0, t_res=2460
[ENCODE] [0][13][15] Writing EVENT d=9, t=1365, d_res=-1, t_res=1365
[ENCODE] [0][14][0] Writing EVENT d=10, t=2187, d_res=1, t_res=2187
[ENCODE] [0][14][1] Writing EVENT d=10, t=2219, d_res=0, t_res=2219
[ENCODE] [0][14][2] Writing EVENT d=10, t=2354, d_res=0, t_res=2354
